[(-15742, -2449, -3148), (-33, 152, 17)]
[(-15742, -2449, -3148), (-33, 152, 17)]
[(-15742, -2449, -3148), (-33, 152, 17)]
[(-15742, -2449, -3148), (-33, 152, 17)]
[(-15732, -2346, -3140), (-131, 187, 38)]
[(-15732, -2346, -3140), (-131, 187, 38)]
[(-15732, -2346, -3140), (-131, 187, 38)]
[(-15732, -2346, -3140), (-131, 187, 38)]
[(-15732, -2346, -3140), (-131, 187, 38)]
[(-15697, -2396, -3177), (-76, 205, 33)]
[(-15697, -2396, -3177), (-76, 205, 33)]
[(-15697, -2396, -3177), (-76, 205, 33)]
[(-15697, -2396, -3177), (-76, 205, 33)]
[(-15697, -2396, -3177), (-76, 205, 33)]
[(-15697, -2396, -3177), (-76, 205, 33)]
[(-15697, -2396, -3177), (-76, 205, 33)]
[(-15693, -2351, -3224), (-67, 268, 2)]
