[(5664, 15132, 2628), (274, 140, 15)]
[(5664, 15132, 2628), (274, 140, 15)]
[(5664, 15132, 2628), (274, 140, 15)]
[(5664, 15132, 2628), (274, 140, 15)]
[(5619, 15087, 2517), (89, 117, 1)]
[(5619, 15087, 2517), (89, 117, 1)]
[(5619, 15087, 2517), (89, 117, 1)]
[(5602, 15065, 2520), (21, 101, 13)]
[(5602, 15065, 2520), (21, 101, 13)]
[(5592, 15076, 2480), (-12, 81, 22)]
[(5592, 15076, 2480), (-12, 81, 22)]
[(5592, 15076, 2480), (-12, 81, 22)]
[(5592, 15076, 2480), (-12, 81, 22)]
[(5583, 15055, 2454), (-28, 80, 41)]
[(5583, 15055, 2454), (-28, 80, 41)]
[(5583, 15055, 2454), (-28, 80, 41)]
[(5614, 15057, 2463), (-24, 65, 61)]
[(5614, 15057, 2463), (-24, 65, 61)]
[(5623, 15063, 2457), (-11, 61, 54)]
[(5623, 15063, 2457), (-11, 61, 54)]
[(5623, 15063, 2457), (-11, 61, 54)]
[(5623, 15063, 2457), (-11, 61, 54)]
[(5638, 15036, 2460), (-11, 88, 21)]
[(5638, 15036, 2460), (-11, 88, 21)]
[(5638, 15036, 2460), (-11, 88, 21)]
[(5636, 15042, 2428), (-18, 107, 34)]
[(5636, 15042, 2428), (-18, 107, 34)]
[(5636, 15042, 2428), (-18, 107, 34)]
[(5636, 15042, 2428), (-18, 107, 34)]
[(5636, 15042, 2428), (-18, 107, 34)]
[(5636, 15042, 2428), (-18, 107, 34)]
[(5651, 15039, 2405), (-61, 96, 55)]
[(5651, 15039, 2405), (-61, 96, 55)]
[(5651, 15039, 2405), (-61, 96, 55)]
[(5620, 15055, 2422), (-93, 71, 17)]
[(5620, 15055, 2422), (-93, 71, 17)]
[(5636, 15040, 2491), (71, 146, 21)]
[(5636, 15040, 2491), (71, 146, 21)]
[(5636, 15040, 2491), (71, 146, 21)]
[(5636, 15040, 2491), (71, 146, 21)]
[(5645, 15036, 2473), (103, 182, 13)]
[(5645, 15036, 2473), (103, 182, 13)]
[(5645, 15036, 2473), (103, 182, 13)]
[(5671, 15046, 2496), (54, 151, 43)]
[(5661, 15064, 2494), (-5, 123, 25)]
[(5661, 15064, 2494), (-5, 123, 25)]
[(5661, 15064, 2494), (-5, 123, 25)]
[(5661, 15064, 2494), (-5, 123, 25)]
[(5616, 15065, 2457), (-58, 102, 44)]
[(5616, 15065, 2457), (-58, 102, 44)]
[(5616, 15065, 2457), (-58, 102, 44)]
[(5608, 15068, 2432), (-79, 124, 58)]
[(5608, 15068, 2432), (-79, 124, 58)]
[(5608, 15068, 2432), (-79, 124, 58)]
[(5608, 15068, 2432), (-79, 124, 58)]
