[(-15655, -1384, -4780), (-118, 183, 5)]
[(-15675, -1463, -4780), (142, 179, -1)]
[(-15675, -1463, -4780), (142, 179, -1)]
[(-15675, -1463, -4780), (142, 179, -1)]
[(-15675, -1463, -4780), (142, 179, -1)]
[(-15648, -1475, -4825), (187, 182, 45)]
[(-15648, -1475, -4825), (187, 182, 45)]
[(-15648, -1475, -4825), (187, 182, 45)]
[(-15648, -1475, -4825), (187, 182, 45)]
[(-15648, -1475, -4825), (187, 182, 45)]
[(-15660, -1456, -4789), (45, 179, 49)]
[(-15660, -1456, -4789), (45, 179, 49)]
[(-15660, -1456, -4789), (45, 179, 49)]
[(-15660, -1456, -4789), (45, 179, 49)]
[(-15660, -1456, -4789), (45, 179, 49)]
[(-15660, -1456, -4789), (45, 179, 49)]
[(-15673, -1440, -4756), (-115, 238, 33)]
[(-15673, -1440, -4756), (-115, 238, 33)]
[(-15673, -1440, -4756), (-115, 238, 33)]
[(-15673, -1440, -4756), (-115, 238, 33)]
[(-15673, -1440, -4756), (-115, 238, 33)]
[(-15673, -1440, -4756), (-115, 238, 33)]
[(-15673, -1440, -4756), (-115, 238, 33)]
[(-15715, -1508, -4784), (74, 27, 148)]
[(-15715, -1508, -4784), (74, 27, 148)]
[(-15715, -1508, -4784), (74, 27, 148)]
[(-15715, -1508, -4784), (74, 27, 148)]
[(-15715, -1508, -4784), (74, 27, 148)]
[(-15715, -1488, -4793), (40, 91, 99)]
[(-15715, -1488, -4793), (40, 91, 99)]
[(-15715, -1488, -4793), (40, 91, 99)]
[(-15715, -1488, -4793), (40, 91, 99)]
[(-15715, -1488, -4793), (40, 91, 99)]
[(-15715, -1488, -4793), (40, 91, 99)]
[(-15691, -1494, -4806), (-47, 141, 94)]
[(-15691, -1494, -4806), (-47, 141, 94)]
[(-15691, -1494, -4806), (-47, 141, 94)]
[(-15691, -1494, -4806), (-47, 141, 94)]
[(-15691, -1494, -4806), (-47, 141, 94)]
[(-15691, -1494, -4806), (-47, 141, 94)]
[(-15691, -1494, -4806), (-47, 141, 94)]
[(-15665, -1480, -4757), (21, 160, 98)]
[(-15665, -1480, -4757), (21, 160, 98)]
[(-15665, -1480, -4757), (21, 160, 98)]
[(-15665, -1480, -4757), (21, 160, 98)]
[(-15665, -1480, -4757), (21, 160, 98)]
[(-15667, -1440, -4748), (59, 110, 105)]
[(-15667, -1440, -4748), (59, 110, 105)]
[(-15667, -1440, -4748), (59, 110, 105)]
[(-15667, -1440, -4748), (59, 110, 105)]
[(-15667, -1440, -4748), (59, 110, 105)]
[(-15667, -1440, -4748), (59, 110, 105)]
[(-15662, -1444, -4716), (22, 83, 79)]
[(-15662, -1444, -4716), (22, 83, 79)]
[(-15662, -1444, -4716), (22, 83, 79)]
[(-15662, -1444, -4716), (22, 83, 79)]
[(-15662, -1444, -4716), (22, 83, 79)]
[(-15662, -1444, -4716), (22, 83, 79)]
[(-15662, -1444, -4716), (22, 83, 79)]
[(-15658, -1453, -4733), (32, 70, 59)]
[(-15658, -1453, -4733), (32, 70, 59)]
[(-15658, -1453, -4733), (32, 70, 59)]
[(-15658, -1453, -4733), (32, 70, 59)]
[(-15658, -1453, -4733), (32, 70, 59)]
[(-15672, -1460, -4705), (-20, 100, 52)]
[(-15672, -1460, -4705), (-20, 100, 52)]
[(-15672, -1460, -4705), (-20, 100, 52)]
[(-15672, -1460, -4705), (-20, 100, 52)]
[(-15672, -1460, -4705), (-20, 100, 52)]
[(-15672, -1460, -4705), (-20, 100, 52)]
[(-15661, -1460, -4700), (-67, 109, 57)]
[(-15661, -1460, -4700), (-67, 109, 57)]
[(-15661, -1460, -4700), (-67, 109, 57)]
[(-15661, -1460, -4700), (-67, 109, 57)]
[(-15661, -1460, -4700), (-67, 109, 57)]
[(-15661, -1460, -4700), (-67, 109, 57)]
[(-15661, -1460, -4700), (-67, 109, 57)]
[(-15652, -1423, -4738), (-75, 127, 46)]
[(-15652, -1423, -4738), (-75, 127, 46)]
[(-15652, -1423, -4738), (-75, 127, 46)]
[(-15652, -1423, -4738), (-75, 127, 46)]
[(-15645, -1440, -4732), (-79, 143, 25)]
[(-15645, -1440, -4732), (-79, 143, 25)]
[(-15645, -1440, -4732), (-79, 143, 25)]
[(-15645, -1440, -4732), (-79, 143, 25)]
[(-15645, -1440, -4732), (-79, 143, 25)]
[(-15645, -1440, -4732), (-79, 143, 25)]
[(-15636, -1443, -4764), (-108, 162, 21)]
[(-15636, -1443, -4764), (-108, 162, 21)]
[(-15636, -1443, -4764), (-108, 162, 21)]
[(-15636, -1443, -4764), (-108, 162, 21)]
[(-15636, -1443, -4764), (-108, 162, 21)]
[(-15636, -1443, -4764), (-108, 162, 21)]
[(-15636, -1443, -4764), (-108, 162, 21)]
[(-15646, -1456, -4737), (-96, 180, 33)]
[(-15646, -1456, -4737), (-96, 180, 33)]
[(-15646, -1456, -4737), (-96, 180, 33)]
[(-15646, -1456, -4737), (-96, 180, 33)]
[(-15646, -1456, -4737), (-96, 180, 33)]
[(-15653, -1438, -4720), (-114, 197, 37)]
[(-15653, -1438, -4720), (-114, 197, 37)]
[(-15653, -1438, -4720), (-114, 197, 37)]
