[(-14483, 6643, -4161), (42, 43, 72)]
[(-14493, 6523, -4333), (-68, 213, 23)]
[(-14493, 6523, -4333), (-68, 213, 23)]
[(-14493, 6523, -4333), (-68, 213, 23)]
[(-14493, 6523, -4333), (-68, 213, 23)]
[(-14493, 6523, -4333), (-68, 213, 23)]
[(-14493, 6523, -4333), (-68, 213, 23)]
[(-14493, 6523, -4333), (-68, 213, 23)]
[(-14493, 6523, -4333), (-68, 213, 23)]
[(-14463, 6532, -4344), (-62, 200, 32)]
[(-14463, 6532, -4344), (-62, 200, 32)]
[(-14463, 6532, -4344), (-62, 200, 32)]
[(-14463, 6532, -4344), (-62, 200, 32)]
[(-14465, 6511, -4359), (-35, 197, 21)]
[(-14465, 6511, -4359), (-35, 197, 21)]
[(-14465, 6511, -4359), (-35, 197, 21)]
[(-14465, 6511, -4359), (-35, 197, 21)]
[(-14465, 6511, -4359), (-35, 197, 21)]
[(-14465, 6511, -4359), (-35, 197, 21)]
[(-14465, 6511, -4359), (-35, 197, 21)]
[(-14465, 6511, -4359), (-35, 197, 21)]
[(-14489, 6510, -4358), (-20, 186, 33)]
