[(-15521, -3024, -4032), (-46, 56, 12)]
[(-15595, -3030, -3944), (-446, 114, 41)]
[(-15595, -3030, -3944), (-446, 114, 41)]
[(-15595, -3030, -3944), (-446, 114, 41)]
[(-15624, -3041, -3924), (-304, 322, 85)]
[(-15624, -3041, -3924), (-304, 322, 85)]
[(-15624, -3041, -3924), (-304, 322, 85)]
[(-15624, -3041, -3924), (-304, 322, 85)]
[(-15624, -3041, -3924), (-304, 322, 85)]
[(-15624, -3041, -3924), (-304, 322, 85)]
[(-15624, -3041, -3924), (-304, 322, 85)]
[(-15783, -2996, -3672), (-103, 571, 127)]
[(-15783, -2996, -3672), (-103, 571, 127)]
[(-15783, -2996, -3672), (-103, 571, 127)]
[(-15783, -2996, -3672), (-103, 571, 127)]
[(-15783, -2996, -3672), (-103, 571, 127)]
[(-15783, -2996, -3672), (-103, 571, 127)]
[(-15708, -2980, -3829), (-157, 533, 121)]
[(-15708, -2980, -3829), (-157, 533, 121)]
[(-15708, -2980, -3829), (-157, 533, 121)]
[(-15708, -2980, -3829), (-157, 533, 121)]
[(-15708, -2980, -3829), (-157, 533, 121)]
[(-15650, -2953, -3894), (-144, 453, 76)]
[(-15650, -2953, -3894), (-144, 453, 76)]
[(-15650, -2953, -3894), (-144, 453, 76)]
[(-15650, -2953, -3894), (-144, 453, 76)]
[(-15650, -2953, -3894), (-144, 453, 76)]
[(-15650, -2953, -3894), (-144, 453, 76)]
[(-15650, -2953, -3894), (-144, 453, 76)]
[(-15630, -2949, -3967), (-93, 369, 70)]
[(-15630, -2949, -3967), (-93, 369, 70)]
[(-15630, -2949, -3967), (-93, 369, 70)]
[(-15630, -2949, -3967), (-93, 369, 70)]
[(-15630, -2949, -3967), (-93, 369, 70)]
[(-15630, -2949, -3967), (-93, 369, 70)]
[(-15618, -2912, -4088), (-52, 266, 70)]
[(-15618, -2912, -4088), (-52, 266, 70)]
[(-15618, -2912, -4088), (-52, 266, 70)]
[(-15618, -2912, -4088), (-52, 266, 70)]
[(-15618, -2912, -4088), (-52, 266, 70)]
[(-15629, -2961, -4058), (-45, 72, -10)]
[(-15629, -2961, -4058), (-45, 72, -10)]
[(-15629, -2961, -4058), (-45, 72, -10)]
[(-15629, -2961, -4058), (-45, 72, -10)]
[(-15629, -2961, -4058), (-45, 72, -10)]
[(-15629, -2961, -4058), (-45, 72, -10)]
[(-15629, -2961, -4058), (-45, 72, -10)]
[(-15591, -3003, -4064), (72, 97, 16)]
[(-15591, -3003, -4064), (72, 97, 16)]
[(-15591, -3003, -4064), (72, 97, 16)]
[(-15591, -3003, -4064), (72, 97, 16)]
[(-15591, -3003, -4064), (72, 97, 16)]
[(-15591, -3003, -4064), (72, 97, 16)]
[(-15567, -2975, -4128), (61, 157, 29)]
[(-15567, -2975, -4128), (61, 157, 29)]
[(-15567, -2975, -4128), (61, 157, 29)]
[(-15567, -2975, -4128), (61, 157, 29)]
[(-15567, -2975, -4128), (61, 157, 29)]
[(-15572, -2995, -4118), (2, 119, -12)]
[(-15572, -2995, -4118), (2, 119, -12)]
[(-15572, -2995, -4118), (2, 119, -12)]
[(-15572, -2995, -4118), (2, 119, -12)]
[(-15572, -2995, -4118), (2, 119, -12)]
[(-15559, -2968, -4148), (-6, 150, -6)]
[(-15559, -2968, -4148), (-6, 150, -6)]
[(-15559, -2968, -4148), (-6, 150, -6)]
[(-15559, -2968, -4148), (-6, 150, -6)]
[(-15559, -2968, -4148), (-6, 150, -6)]
[(-15559, -2968, -4148), (-6, 150, -6)]
[(-15537, -2995, -4093), (-68, 104, -19)]
[(-15537, -2995, -4093), (-68, 104, -19)]
[(-15537, -2995, -4093), (-68, 104, -19)]
[(-15537, -2995, -4093), (-68, 104, -19)]
[(-15537, -2995, -4093), (-68, 104, -19)]
[(-15560, -3020, -4048), (69, 58, -9)]
[(-15560, -3020, -4048), (69, 58, -9)]
[(-15560, -3020, -4048), (69, 58, -9)]
[(-15560, -3020, -4048), (69, 58, -9)]
[(-15560, -3020, -4048), (69, 58, -9)]
[(-15560, -3020, -4048), (69, 58, -9)]
[(-15559, -3014, -4015), (70, 73, 14)]
[(-15559, -3014, -4015), (70, 73, 14)]
[(-15559, -3014, -4015), (70, 73, 14)]
